Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model;Detected
_IO_file_jumps_mmap;fileops.c;1480;0.6931986808776855;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.3973307609558105;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.7879395484924316;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;1.0324478149414062;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.2379333972930908;0-2;LSB bit-flip;1
__GI__IO_file_jumps;fileops.c;1455;0.6725776195526123;0-2;LSB bit-flip;1
perturb_byte;malloc.c;1882;0.3263967037200928;0-2;LSB bit-flip;1
__PRETTY_FUNCTION__;fileops.c;0;1.0731806755065918;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.2822468280792236;0-2;LSB bit-flip;1
__evoke_link_warning_llseek;../sysdeps/unix/sysv/linux/lseek64.c;53;1.473201036453247;0-2;LSB bit-flip;1
start_time;rtld.c;308;0.2251443862915039;0-2;LSB bit-flip;1
tcache_shutting_down;malloc.c;2920;1.1714887619018555;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.8889591693878174;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.061913013458252;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;1.167140007019043;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.6365389823913574;0-2;LSB bit-flip;1
_dl_argc;rtld.c;82;0.5819301605224609;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.5976037979125977;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;0.9814443588256836;0-2;LSB bit-flip;1
_IO_file_jumps_maybe_mmap;fileops.c;1504;1.0637609958648682;0-2;LSB bit-flip;1
_IO_file_jumps_mmap;fileops.c;1480;0.9514169692993164;0-2;LSB bit-flip;1
