Variable Name;Variable File;Variable Line;Fault Injection Time(s);Injection Time Interval;Fault Model
ptr;RBTree.cpp;39;0.575352668762207;0-2;LSB bit-flip
this;RBTree.cpp;0;0.7432911396026611;0-2;LSB bit-flip
n;RBTree.cpp;54;1.1030604839324951;0-2;LSB bit-flip
i;main.cpp;53;0.6179180145263672;0-2;LSB bit-flip
i;main.cpp;53;1.1347315311431885;0-2;LSB bit-flip
root;RBTree.cpp;39;0.4823012351989746;0-2;LSB bit-flip
